"costs";"clicks";"visits";"sql_date";"strategy_id"
0.0000;0;0;"2017-02-21";3566
0.0000;0;0;"2017-02-21";3565
0.0000;0;0;"2017-02-21";2902
0.0000;0;0;"2017-02-21";2766
0.0000;0;0;"2017-02-21";2763
0.0000;0;0;"2017-02-21";2561
0.0000;0;0;"2017-02-21";2560
0.0000;0;0;"2017-02-21";2559
0.0000;0;0;"2017-02-21";2233
0.0000;0;0;"2017-02-21";2231
0.0000;0;0;"2017-02-21";752
0.0000;0;0;"2017-02-21";751
0.0000;0;0;"2017-02-21";744
0.0000;0;0;"2017-02-21";260
0.0000;0;0;"2017-02-21";210
0.0000;0;0;"2017-02-21";-5
91.4886;0;0;"2017-02-21";-6
0.0000;0;0;"2017-02-21";-7
0.0000;0;0;"2017-02-20";8398
0.0000;0;0;"2017-02-20";8005
0.0000;0;0;"2017-02-20";7487
125.9643;0;0;"2017-02-20";6957
0.0000;0;0;"2017-02-20";6945
0.0000;0;0;"2017-02-20";6944
143.1000;0;0;"2017-02-20";6788
0.0000;0;0;"2017-02-20";6734
424.7971;0;0;"2017-02-20";6718
108.2143;0;0;"2017-02-20";6579
0.0000;0;0;"2017-02-20";6413
0.0000;0;0;"2017-02-20";6412
0.0000;0;0;"2017-02-20";6411
0.0000;0;0;"2017-02-20";6317
0.0000;0;0;"2017-02-20";6316
0.0000;0;0;"2017-02-20";6315
0.0000;0;0;"2017-02-20";6314
0.0000;0;0;"2017-02-20";6313
0.0000;0;0;"2017-02-20";6312
0.0000;0;0;"2017-02-20";6311
0.0000;0;0;"2017-02-20";6308
0.0000;0;0;"2017-02-20";5687
0.0000;0;0;"2017-02-20";4307
0.0000;0;0;"2017-02-20";3568
0.0000;0;0;"2017-02-20";3566
0.0000;0;0;"2017-02-20";3565
0.0000;0;0;"2017-02-20";2902
0.0000;0;0;"2017-02-20";2766
0.0000;0;0;"2017-02-20";2763
0.0000;0;0;"2017-02-20";2561
0.0000;0;0;"2017-02-20";2560
0.0000;0;0;"2017-02-20";2559
0.0000;0;0;"2017-02-20";2233
0.0000;0;0;"2017-02-20";2231
